№ п/п;Объект;Координата Х;Координата У;Адрес
1;Жилой двухквартирный дом;;;Шангское с/п, д .Кривячка, ул.Молодежная, д.7
2;Жилой 1кв. двухквартирный дом;;;д.Пищевка, ул.Центральная, д.18
3;Жилой двухквартирный дом;;;д.Пищевка, пер.Полевой, д.4
4;Нежилой двухквартирный дом;;;Шекшемское с/п, пос.Шекшема, ул.Лесная, д.6 
5;Нежилой двухквартирный дом;;;пос.Шекшема, ул.Школьная, д.19
6;Нежилой двухквартирный дом;;;Зебляковское с/п, п.Зебляки, ул.1-я Заводская, д.19
7;Нежилой многоквартирный дом;;;Зебляковское с/п, п.Зебляки, ул.2-я Заводская, д.22
8;Жилой 5кв. многоквартирный дом;;;п.Зебляки, ул.Труда, д.23
9;Жилой 1кв. двухквартирный дом;;;п.Зебляки, ул.Труда, д.1-г
10;Жилой 3кв. многоквартирный дом;;;п.Зебляки, ул.Зебляковская, д.33
11;Жилой многоквартирный дом;;;п.Зебляки, ул.Ленина, д.4
12;Жилой многоквартирный дом;;;п.Зебляки, ул.Шарьинская, д.37
13;Нежилой двухквартирный дом;;;п.Зебляки, ул.Костромская, д.32, кв.2
14;Жилой 1кв. двухквартирный дом;;;п.Зебляки, ул.Северная, д.1, кв.1