№ п/п;Наименование;Режим работы;Координата Х;Координата У;Адрес
1;Администрация Шарьинского муниципального района ; ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская область, г. Шарья, ул. Октябрьская, д.21
2;Комитет по делам культуры, молодежи и спорта администрации Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская область, г. Шарья, ул. Октябрьская, д.18, 
3;Комитет образования администрации Шарьинского муниципального района; ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская область, г. Шарья, ул. П.Морозова, 19. 
4;Администрация Ивановского сельского поселения Шарьинского муниципального района Костромской области ;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская обл., Шарьинский р-он, с.Рождественское, ул.Коммунальная,4. 
5;Администрация Зебляковского сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская обл., Шарьинский р-он, п.Зебляки, ул.Октябрьская, д.74. 
6;Администрация Заболотского сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская обл., Шарьинский р-он, с.Заболотье, ул.ул.Молодёжная, 1а. 
7;Администрация Одоевского сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он, с.одоевское, ул.Советская, д.11. 
8;Администрация Коневского сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;;Костромская обл., Шарьинский р-он, д.Конёво, ул.Школьная, д.1. 
9;Администрация Троицкого сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он, с.Троицкое, ул.Советская, д.26 
10;Администрация Шангского сельского поселения Шарьинского муниципального района Костромской области ;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он 
11;Администрация Головинского сельского поселения Шарьинского муниципального района Костромской области ;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он, с.Головино, ул.Центральная, 7. 
12;Администрация Шекшемского сельского поселения Шарьинского муниципального района Костромской области;ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он, п.Шекшема, ул.Вокзальная, д.7. 
13;Администрация Варакинского сельского поселения Шарьинского муниципального района Костромской области; ПН-ПТ с 8.00-17.00,обед с 12.00-13.00;;; Костромская обл., Шарьинский р-он, п.Варакинский, ул.Берёзовая Роща. 